raw_data,filtered_data
162875904,-8632577.32965405
-36591104,-13276812.48423179
188294400,5385058.452730805
39238400,4174013.8745938623
-53490944,24548232.05456922
174356480,72713023.9132438
-90118144,-7541183.692798815
-21640704,27369796.931168642
-138189568,20547828.542640712
214507776,-18588069.241386212
1179904,7874183.102069008
49361664,-17814790.814113393
-145623808,-26130369.006042182
34820608,-19978547.381534442
-42530304,14648843.260886874
284677120,15203929.677749969
382129152,23211637.92054902
138731008,-6212948.604153622
37792256,-30406541.719419826
-120764672,15718965.208176246
-199716608,-37771070.96050517
-107280896,-28223024.090707995
-150099200,4785875.165746066
-61528320,18730829.93265012
-27674112,-7106593.033665576
180910592,14053811.116375828
26530048,-28071825.298587594
-52800256,-29162442.626169477
332988160,12717581.142567264
-117920000,-12015619.640252834
-75296512,-28318209.902647484
-68113920,-10828117.728591079
-41237504,-4648088.911074034
92044800,20283474.806673158
-158720,12754758.399089878
11266816,-10123473.786007304
122326016,22379492.55643807
-23914496,34957881.18181265
28668672,6790486.18155027
-158035968,8084156.471072335
269869056,18073879.184035048
2024960,35353454.0222032
-151059200,-3581971.9323796765
66672128,-3056693.7988196
187412224,15602400.040809937
-97953280,-15876260.27215413
67881728,3694808.453448215
-111980032,30756867.199358936
65232128,-21147143.50420683
98519808,6088447.279779668
-84291328,1875037.4816840892
-138681856,14073376.069586111
107072000,-66251413.28012504
109974784,6223348.378615155
46707712,1858298.448718489
186571008,-23786284.15264032
67869184,6121831.053112482
-20545536,8404126.071870925
127476480,15498416.585270325
-55356928,4624554.667950962
-77332736,17662158.38994041
-9060096,6965453.366659606
-191941888,-37273198.15618788
12797184,-5843666.102293809
20794112,43687787.55140725
-106425856,16289783.102531575
-113597184,2657532.913828554
231015680,28874806.177063547
75544832,4159442.5111100664
-27987200,1454877.2001413226
-24315392,-12744614.242341373
47552256,-29540122.65363553
58539520,24736795.5535996
56125440,10075603.133517236
-7753984,-4010752.91052425
96305664,20720073.219439663
79767552,-2052915.681755335
107282944,-22403766.487827785
-105978112,-52396142.03785386
-175629568,-6686499.963858226
-416332288,-14789641.203147639
260333056,25443764.442062095
12556288,-19816826.106246307
-181914624,-1004705.3840078049
-116328448,22057782.08011828
-91936000,2775574.321966231
-268489472,86877748.26566136
92852224,27184960.926528536
286276352,2497129.0515862224
49536256,1653255.146631375
-51350528,3727109.50638904
48847104,8689157.081869472
-176234496,-2141640.202139585
19294464,14526102.416631315
158612480,5950468.69299796
180487936,15143219.399316441
-126990080,-22588189.816992097
127046656,46290791.01083926
250008064,29847987.654734097
143922432,-14570552.720449243
-137920256,-5173026.714033139
-138826240,14360745.538564054
-13455616,25169095.569268916
-39162112,32909672.814857583
40079360,9057461.462077694
128221696,22749083.165424954
127518720,24211564.918263856
-60472320,-9773365.70907909
-29687296,-23191174.471414126
118457088,685572.6336796973
-29764352,2927025.3445542655
55252480,11107402.33923194
149844736,3551133.664243624
-31104512,-13139874.031771341
-13830656,-15433749.93310673
-95616000,-15196555.807777204
100937728,-11480301.130239923
168638976,20920951.932058495
190014720,2410832.2340411507
274152704,-15922595.033213072
-79977984,-8999535.755772635
-86102272,26844220.1925412
-37313792,8212901.838824174
19606272,891771.2681645335
-181000704,1409644.3022953323
-39540480,21125404.977016814
91964672,-5532461.667139787
32983552,-24856565.556630895
142912512,10328116.380244307
185395456,-18105155.253992755
-191248896,10813666.507710923
7163904,8039631.026472435
81947904,10261654.086506058
-8022272,6928144.006028874
5484544,-16554774.211069806
14198272,1588275.9291922522
49266432,13336099.726710431
-3836928,-10098198.878882224
66389504,-9528643.338713005
-202853888,-36405304.24797311
-92710912,34758197.00817878
-190022656,2766278.1528760483
168197888,3537442.8072382193
