raw_data,filtered_data
-236609536,-11125055.048707103
-154164224,40520421.96985796
-220690688,10937417.581897574
52867584,-12025388.805252252
184501504,10845679.01798315
82817280,8317777.330723775
2496768,-8435898.838947538
96977152,36576063.63729542
3991552,-6870191.262999473
153299200,25073495.05993267
-113537280,-20023206.13339145
-129017856,-1920257.2922642166
61334528,-24254660.981230542
206746112,-57521.376498938655
-241637120,-21681507.795848012
92531712,8357213.073706739
-155545856,25949852.193235926
107071744,-12251835.478163242
-217041664,-11146682.955642223
40177152,8081479.0045535015
7822080,32574362.359609254
-94089472,-9253316.412486317
-88256000,10961045.491585407
279875072,-22992835.58329607
-235465216,12349413.10970338
-21634816,-1116873.1201779717
-4628992,26369776.682234425
-113691648,-12045916.385108575
-173938688,262669.87135483365
-219054592,-29049133.337985195
-14386176,-4314189.35225007
160789248,-281971.00562846876
-281739520,-9912793.72362565
-220665344,-152842.23165062803
125174016,24428658.368046634
331443200,-6783359.0607117005
-121339136,-2819989.5989934793
-91469568,20493588.078865975
202334464,36005214.31725771
239371008,10550562.433757512
-163629056,-15000436.405097492
-206179584,37943184.426082574
135726592,-13382407.809493141
296154880,-19837883.88691624
-80888576,-36059782.070082955
48681216,-2309730.1028695046
127843584,-15633963.814487701
-55852288,15855337.630994434
22645248,-9675857.004184354
73258496,-12227298.369439328
71620608,-5816610.625097384
157804288,5462459.588042857
-64290304,2041307.5630651438
13306112,-5513181.856705023
32454400,4953010.287610438
9210368,-791766.524830728
274542592,8949468.535738124
-42712832,-9018802.953838423
192966656,-10838534.519794349
239648512,37700621.22593108
-63078400,-4641138.811761039
-23749120,25656945.689303536
-89473024,-20657764.744314753
-98780928,16257164.989948241
138888704,19365645.912716147
-170254336,9029136.335308269
-73720320,26861073.963720597
-129068032,-25685367.967614625
-39051264,16053188.52238754
79438080,-16938291.23341135
105980416,2281501.5840105615
-139293696,18326281.4715538
23129344,-5771928.797501655
11514368,-8997554.257203223
91262208,25258779.06775195
78932224,12734549.283014793
-101898752,21010416.83538597
90490624,20509388.668082997
