raw_data,filtered_data
38094848,-25035109.874215607
-122510592,-42145976.83613253
-242456064,4119499.548855192
116669696,24605293.030463908
183208960,3382498.444799654
-242182400,-8839905.79486587
-2681600,-21204506.207369316
224544000,-7021554.402717774
-184734208,7412.979901339301
77300736,14710733.135186363
-24899328,664050.7491889838
-107882496,28771347.229028188
-30802944,-3224032.4717191043
-40137984,-13106786.569039635
-146032128,-18024494.094701998
-49794048,-5136933.412649124
-102198016,6367485.700387328
-139523072,13440163.551926611
-118474496,18496483.0938007
-81811200,-7111000.185237204
-199551744,38430642.00166284
-76148224,4036035.955900194
-73661440,-23380505.35444371
-21942016,18112733.12810468
-18236928,-12612799.584166367
73207296,-15249980.669916185
85689856,-9271709.50029007
-102791680,-42694671.080372274
-253451520,-14240398.014501082
57444608,-24577530.891119365
410576640,5879842.952179611
122255104,-16148291.597323133
-71361536,16609930.607373945
206725376,-23057456.200288936
126917632,2191185.516174543
21688064,7307031.606599273
92779520,16684926.857163211
-39533312,27040907.54156915
157296640,22098063.998744443
130869760,-15367875.843652565
-25563392,-7753436.168534157
44160256,2981336.16186834
57682688,-22959716.474428985
102306048,29677639.920772135
-242206464,824498.9944555957
-332264704,6097257.673308703
37455616,-3170924.9917003843
-272242432,3362567.719390051
-67385344,-9505199.388165094
-112275200,7823517.166948747
4287232,9692714.353827199
-43548928,-28372767.900958136
-121936384,1677942.8933722905
-48288512,9469416.122355754
31464960,-9134544.561764877
29887488,-20856304.894995492
-96963328,8466217.643169796
-69374976,12715334.205180418
94887936,-13355983.924963137
27363584,-614023.1625449479
-57990912,-13179983.653548194
-227301120,-39342992.93952668
-108215296,2767325.7626263173
-123304960,762698.8627751109
-105573888,17114017.607942764
-61662720,19926039.80048967
1586176,18694699.165331457
-151169536,-16242413.109948954
24952576,-11063606.413690401
32934656,4297650.409604902
6540544,26425658.87983786
152983808,-4395514.491708197
-366497024,-19813305.06244522
-188542976,-47313968.08495874
-110188032,-3053386.67149472
-194903552,11786836.281876758
-399467008,18792183.581929676
-68139008,16626886.023154965
-68190720,640758.640118396
132582912,8463608.320650114
-89253376,-5201676.2643148545
78788096,-15309400.248842211
-72462592,7633597.320580635
149882624,4575773.585069203
58833920,-28491761.080787595
-96472064,-12182637.94690804
-65149440,2112933.525030265
-59905536,937203.954153817
142481920,21951862.52339043
69413376,45943692.09791573
-277306624,-8719759.615310732
16055040,-5412044.299822857
-20580096,-8938652.125159914
-10657024,12425626.670954708
-204402432,3157105.2671202053
17024000,-5268489.710521674
-299200000,-20786681.194383197
12456704,-18754.575906662973
-193466880,-10375063.153789893
154877696,45767332.99682169
67118848,-20445524.15783738
71071488,17115296.92029844
39909376,3241394.7443291503
26436864,-11543260.176231636
75196928,-16638418.983033722
113296128,-5256760.119843832
-133821440,-12836670.750548212
154713600,-15686576.621679388
24765184,14155090.866059903
-179436800,1772791.306940933
53104128,15829587.483213734
-32777984,-5548291.819627921
220588800,37389975.750599734
126829056,-13550067.362059314
13839360,15370457.829816045
247330304,-19037785.228944197
-42287104,-14919084.535256041
-194656512,-71168588.7654883
-50292224,-19405058.200795814
-238585344,-2689516.54535125
84172288,20745312.38100103
-153079296,-1841296.5832687125
-52085248,-5975919.523431077
42189056,-22139568.931347176
-126328576,-18621106.20818133
-62937600,-2680055.0000898126
-92572416,29179269.752684638
-75084032,9705943.282476317
-29601536,-32698264.169382785
396158208,50780075.757631086
-138631936,-41753229.7797409
72691968,-18835523.011362292
-19797504,-31694533.570640475
-26648320,37408115.83878448
-41749504,-19498707.98583163
-21658368,8504004.472614016
-42958592,-1945417.3859702188
158395136,-7397666.001796022
14919936,-19234243.611607343
-126297088,1072658.593348644
-312345856,4504569.66370835
-108953856,8210674.07645388
110083840,17729070.922782566
-318441216,4659442.196326236
71705344,-36878998.69027099
142670336,-20329393.863934435
-185736960,45980134.26838866
-75514880,237455.50368646145
-84514048,-15083401.859254064
-95071744,-20781791.770571887
-149475072,-27301800.427841105
50921472,11050826.59538131
50767616,9524384.436706299
-50980864,-20715238.466892663
-216509952,-23051462.650265336
-153456128,-38109126.883219145
-31626752,9075502.164389422
47628544,-15725061.048066339
31152128,-10210782.573866304
-161007360,-3824608.3082410367
79712256,11315065.359684374
48546560,-1805887.5992394583
128276224,-31397502.207547754
61579776,22062307.88549734
-119415552,26428614.32848849
70284800,7561195.20184436
13210368,-10813571.540686276
75359232,28184554.524401646
75064832,-15768327.125826772
40977408,-3535322.781654946
46940160,4760280.95721137
128655616,21093897.973646067
-16267520,9620678.367356693
-98534400,-11199303.394342192
-160523776,23364454.251780894
-3191808,20636867.183398213
-46186496,-31295001.908378195
-77844736,6165896.654291893
-252798464,-21771895.506318606
232707072,-2993072.753542232
61269248,20410828.68760882
-1087488,42261778.70133836
-44503296,-15747129.182808595
-40576000,1302895.7626356366
-206139136,-4390751.038034263
-51232768,20839246.380028695
212495616,-24398007.828594886
-59407872,-18588571.173796225
63948800,14274230.899837662
-369535232,10908792.480275983
91923712,8499058.967412272
-199247872,13494449.490583265
48496640,8781456.361243771
428842240,-52334592.35834839
-52925184,-36763142.29667095
159501312,60161871.71286561
122864128,-29719286.29093017
19226368,-17809509.74009285
-125109504,16828607.80566433
-13429760,-1585941.2238563157
